name,industry,headquarter,company_type,foundation_date,founders,market_cap,rank,number_of_employees,website,facebook,twitter,instagram,pinterest,telephone,ceo,company_status,revenue,investors,total_assets_in_usd,total_liabilities_in_usd,total_equity_in_usd,annual_net_income_in_usd,annual_results_for_year_ending
TCS,IT Services & Consulting,"Mumbai, Maharashtra, India",Public,1968 (55 yrs old),,,,,,,,,,,,,,,,,,,
IBM,Software Product,"Armonk,New York, United States",Public,1911 (112 yrs old),,,,,,,,,,,,,,,,,,,
Oracle,Software Product,"Austin,Texas, United States",Public,1977 (46 yrs old),,,,,,,,,,,,,,,,,,,
Dominos Pizza,Hospitality,"Ypsilanti, Michigan, United States (USA)",Public,1960 (63 yrs old),,,,,,,,,,,,,,,,,,,
PepsiCo,Food Processing,"Harrison, New York, United States (USA)",Private,1989 (34 yrs old),,,,,,,,,,,,,,,,,,,
Procter & Gamble,FMCG,"Cincinnati, Ohio, United States (USA)",Public,1837 (186 yrs old),,,,,,,,,,,,,,,,,,,
Philips,Healthcare,"Amsterdam, Netherlands",Private,1930 (93 yrs old),,,,,,,,,,,,,,,,,,,
Xiaomi,Consumer Electronics & Appliances,"Haidian District, Beijing, China",Private,2010 (13 yrs old),,,,,,,,,,,,,,,,,,,
Hyundai Mobis,Auto Components,"Kanchipuram, Tamil Nadu, India",Private,2017 (6 yrs old),,,,,,,,,,,,,,,,,,,
Union Bank of India,Banking,"Mumbai, Maharashtra, India",Public,1919 (104 yrs old),,,,,,,,,,,,,,,,,,,
H&M,Retail,"Stockholm, Stockholm, Sweden",Private,1947 (76 yrs old),,,,,,,,,,,,,,,,,,,
AT&T,Telecom,"Dallas, Texas, United States (USA)",Private,1983 (40 yrs old),,,,,,,,,,,,,,,,,,,
Kraft Heinz Company,Food Processing,"Mumbai, Maharashtra, India",Private,1994 (29 yrs old),,,,,,,,,,,,,,,,,,,
BMW,Automobile,"Munich, Germany",Private,1916 (107 yrs old),,,,,,,,,,,,,,,,,,,
The Chennai Silks,Fashion & Textile,"Tirupur/Tiruppur, Tamil Nadu, India",Private,1964 (59 yrs old),,,,,,,,,,,,,,,,,,,
Texas Instruments,Semiconductors,"Dallas,Texas, United States",Private,1951 (72 yrs old),,,,,,,,,,,,,,,,,,,
The Walt Disney Company,Media & Entertainment,"Burbank, California, United States (USA)",Private,1923 (100 yrs old),,,,,,,,,,,,,,,,,,,
Microsoft,Computer Software,,,,,,21.0,,,,,,,,,,,,,,,,
Nintendo,Gaming Console,,,,,,46.0,,,,,,,,,,,,,,,,
BMW,Car/Automobile,,,,,,49.0,,,,,,,,,,,,,,,,
Philips,Consumer Electronics,,,,,,57.0,,,,,,,,,,,,,,,,
Twitter,Social Networking Site,,,,,,60.0,,,,,,,,,,,,,,,,
Acer,Computer,,,,,,70.0,,,,,,,,,,,,,,,,
Louis Vuitton (LV),Luxury Fashion Retailer,,,,,,123.0,,,,,,,,,,,,,,,,
IBM,Computer,,,,,,154.0,,,,,,,,,,,,,,,,
Japan Airlines (JAL),Full-service Airlines,,,,,,231.0,,,,,,,,,,,,,,,,
British Petroleum (BP),Petrol/Gas Station,,,,,,258.0,,,,,,,,,,,,,,,,
Prada,Luxury Fashion Retailer,,,,,,348.0,,,,,,,,,,,,,,,,
China Eastern Airlines,Full-service Airlines,,,,,,397.0,,,,,,,,,,,,,,,,
China Construction Bank,Bank,,,,,,398.0,,,,,,,,,,,,,,,,
Taiwan Mobile,Mobile Service Provider,,,,,,451.0,,,,,,,,,,,,,,,,
Domino’s,Fast-Food,,,,,,671.0,,,,,,,,,,,,,,,,
Hana,Bank,,,,,,985.0,,,,,,,,,,,,,,,,
Walt Disney,"['Entertainment', 'Dow jones']",USA,,,,$177.08 B,54.0,,,,,,,,,,,,,,,,
Oracle,"['Tech', 'Software']",USA,,,,$224.72 B,38.0,,,,,,,,,,,,,,,,
Chevron,"['Oil&Gas', 'Dow jones', 'Energy']",USA,,,,$350.04 B,20.0,,,,,,,,,,,,,,,,
Procter & Gamble,"['Dow jones', 'Consumer goods']",USA,,,,$356.90 B,18.0,,,,,,,,,,,,,,,,
Microsoft,"['Software', 'Tech', 'Dow jones', 'Video games']",USA,,,,$1.901 T,3.0,,,,,,,,,,,,,,,,
Dior,"['Luxury goods', 'Clothing']",France,,,,$135.84 B,84.0,,,,,,,,,,,,,,,,
At&t,['Telecommunication'],USA,,,,$135.55 B,85.0,,,,,,,,,,,,,,,,
China Construction Bank,"['Banks', 'Financial services']",China,,,,$153.33 B,71.0,,,,,,,,,,,,,,,,
Texas Instruments,"['Semiconductors', 'Tech', 'Tech Hardware']",USA,,,,$161.23 B,63.0,,,,,,,,,,,,,,,,
General Dynamics,['Defense contractors'],USA,,,,$70.21 B,197.0,,,,,,,,,,,,,,,,
Truist Financial,"['Banks', 'Financial services']",USA,,,,$59.78 B,248.0,,,,,,,,,,,,,,,,
Safran,"['CAC 40', 'Aerospace', 'Defense contractors']",France,,,,$52.61 B,292.0,,,,,,,,,,,,,,,,
Monster Beverage,['Beverages'],USA,,,,$54.28 B,283.0,,,,,,,,,,,,,,,,
Kraft Heinz,['Food'],USA,,,,$48.78 B,331.0,,,,,,,,,,,,,,,,
Nintendo,"['Video games', 'Electronics', 'Entertainment', 'Tech Hardware', 'Tech']",Japan,,,,$49.82 B,319.0,,,,,,,,,,,,,,,,
Workday,"['Software', 'Tech']",USA,,,,$43.77 B,387.0,,,,,,,,,,,,,,,,
Infineon,"['Semiconductors', 'Tech', 'DAX', 'Tech Hardware']",Germany,,,,$44.02 B,384.0,,,,,,,,,,,,,,,,
Kinder Morgan,"['Oil&Gas', 'Transportation', 'Infrastructure', 'Energy']",USA,,,,$42.70 B,401.0,,,,,,,,,,,,,,,,
Muyuan Foods,['Food'],China,,,,$37.07 B,463.0,,,,,,,,,,,,,,,,
Japan Tobacco,['Tobacco'],Japan,,,,$36.71 B,468.0,,,,,,,,,,,,,,,,
